EventId,EventName,EventCategoryId,EventCategoryName,StartDateTime,EndDateTime,ReservationId,BackgroundColor,TextColor,IsRegistered,SsoUrl,ImageUrl,MaxRegistrants,RegisteredCount,PriceInfo,RatingRestrictions,TagsInfo
1389575,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-07-07T09:00:00,2025-07-07T11:00:00,37451607,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1389629,3.0 - 3.5 Open Play,40472,Intermediate,2025-07-07T09:00:00,2025-07-07T11:00:00,37452678,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1389664,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-07-07T11:00:00,2025-07-07T13:00:00,37453605,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1389680,3.0 - 3.5 Open Play,40472,Intermediate,2025-07-07T11:00:00,2025-07-07T13:00:00,37453992,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1389645,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-07-07T13:00:00,2025-07-07T15:00:00,37453164,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1114751,High School - Open Play,65806,Highschool Open Play,2025-07-07T15:00:00,2025-07-07T17:00:00,37451815,#3439cc,#f7f6f6,False,REDACTED,,10.0,,[],[],[]
1389648,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-07-07T15:00:00,2025-07-07T17:00:00,37453251,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1389743,Intro to Pickleball,61814,Intro to Pickleball,2025-07-07T17:00:00,2025-07-07T18:00:00,37455644,#a8e6cf,#000000,False,REDACTED,,8.0,,[],[],[]
1343087,Ladies Night High Intermediate,40471, High Intermediate,2025-07-07T18:00:00,2025-07-07T20:00:00,37218230,#d69cbc,#1a1919,False,REDACTED,,18.0,,[],[],[]
1390700,3.75+ Open Play,47676,Low Advanced,2025-07-07T18:00:00,2025-07-07T20:00:00,37484957,#51074a,#ffffff,False,REDACTED,,6.0,,[],[],[]
1390703,3.0 - 3.5 Open Play,40472,Intermediate,2025-07-07T18:00:00,2025-07-07T20:00:00,37485114,#ffd3b6,#171717,False,REDACTED,,6.0,,[],[],[]
1440239,3.75+ Open Play,47676,Low Advanced,2025-07-07T18:00:00,2025-07-07T20:00:00,38862210,#51074a,#ffffff,False,REDACTED,,6.0,,[],[],[]
1390375,HeyDay League,40475,Leagues ,2025-07-07T20:00:00,2025-07-07T21:00:00,37473005,#11e2bb,#0f0f0f,False,REDACTED,,1.0,,[],[],[]
1390741,ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,53028,All Levels w/ Challenge Court,2025-07-07T20:00:00,2025-07-07T22:00:00,37921969,#74d600,#000000,False,REDACTED,,48.0,,[],[],[]
1390374,HeyDay League,40475,Leagues ,2025-07-07T21:00:00,2025-07-07T22:00:00,37472999,#11e2bb,#0f0f0f,False,REDACTED,,1.0,,[],[],[]
1342350,Closed Courts,46821,Closed Courts,2025-07-07T22:00:00,2025-07-07T23:59:00,37452286,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1287090,Closed Courts,46821,Closed Courts,2025-07-08T07:00:00,2025-07-08T09:00:00,37452128,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1516644,Closed Courts,46821,Closed Courts,2025-07-08T07:00:00,2025-07-08T09:00:00,40294321,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1227480,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-07-08T09:00:00,2025-07-08T11:00:00,33674338,#74d600,#000000,False,REDACTED,,36.0,,[],[],[]
1116968,Summer Kids Clinics - Ages 8-12,65804,Kids Summer Camp,2025-07-08T09:00:00,2025-07-08T14:00:00,31010383,#e74c6b,#000000,False,REDACTED,,10.0,,[],[],[]
1389664,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-07-08T11:00:00,2025-07-08T13:00:00,37453606,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1389680,3.0 - 3.5 Open Play,40472,Intermediate,2025-07-08T11:00:00,2025-07-08T13:00:00,37453993,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1284997,Glenn's Private Group,48032,Private Event,2025-07-08T11:00:00,2025-07-08T13:00:00,37658248,#a51662,#ffffff,False,REDACTED,,14.0,,[],[],[]
1389720,3.0 - 3.5 Open Play,40472,Intermediate,2025-07-08T13:00:00,2025-07-08T15:00:00,37455078,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1389722,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-07-08T13:00:00,2025-07-08T15:00:00,37455145,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
