Id,ReservationTypeId,ReservationTypeName,Courts,Instructors,IsLesson,StartTime,EndTime,CreatedOnUtc,UpdatedOnUtc,CancelledOn,Players,UserDefinedFields
36725822,64158,"Drilling with The Titan Ball Machine $70 per HR ($2,299 Value)",Court #2,REDACTED,False,2025-06-08T16:00:00,2025-06-08T17:00:00,2025-06-08T19:03:25.053,2025-06-08T15:55:01.847,,REDACTED,[]
36726150,52120,Reserve Court: Doubles,Court #1,REDACTED,False,2025-06-13T14:00:00,2025-06-13T17:00:00,2025-06-08T19:12:32.307,2025-07-01T13:45:28.247,,REDACTED,[]
36728403,52120,Reserve Court: Doubles,Court #1,REDACTED,False,2025-06-09T10:00:00,2025-06-09T12:00:00,2025-06-08T19:59:39.393,2025-06-09T10:10:13.53,,REDACTED,[]
36728485,52120,Reserve Court: Doubles,Court #2,REDACTED,False,2025-06-08T19:00:00,2025-06-08T21:00:00,2025-06-08T20:01:24.717,2025-06-08T19:47:59.43,,REDACTED,[]
36733844,52120,Reserve Court: Doubles,Court #1,REDACTED,False,2025-06-10T18:00:00,2025-06-10T19:00:00,2025-06-08T22:23:26.787,2025-06-08T18:24:10.87,,REDACTED,[]
36736746,52120,Reserve Court: Doubles,Court #2,REDACTED,False,2025-06-11T11:00:00,2025-06-11T13:00:00,2025-06-09T00:18:37.567,,,REDACTED,[]
36750752,57948,Reserve Court: Singles,Court #1,REDACTED,False,2025-06-10T19:00:00,2025-06-10T20:00:00,2025-06-09T13:26:47.507,,,REDACTED,[]
36759593,57948,Reserve Court: Singles,Court #3,REDACTED,False,2025-06-09T21:00:00,2025-06-09T22:00:00,2025-06-09T15:39:29.15,,,REDACTED,[]
36761229,52120,Reserve Court: Doubles,Court #1,REDACTED,False,2025-06-09T12:00:00,2025-06-09T14:30:00,2025-06-09T16:07:55.867,2025-06-09T12:10:21.557,,REDACTED,[]
36773522,52120,Reserve Court: Doubles,"Court #1, Court #2",REDACTED,False,2025-06-10T09:00:00,2025-06-10T11:00:00,2025-06-09T18:56:04.013,2025-06-09T18:15:25.28,,REDACTED,[]
36787497,52120,Reserve Court: Doubles,Court #2,REDACTED,False,2025-06-10T15:00:00,2025-06-10T17:00:00,2025-06-09T23:12:31.75,2025-06-10T16:46:46.557,,REDACTED,[]
36789957,57948,Reserve Court: Singles,Court #1,REDACTED,False,2025-06-10T16:30:00,2025-06-10T18:00:00,2025-06-10T00:33:42.267,,,REDACTED,[]
36790664,52121,Private Lesson,Court #6,REDACTED,True,2025-06-10T11:00:00,2025-06-10T12:00:00,2025-06-10T01:02:24.24,2025-06-09T21:03:28.75,,REDACTED,[]
36790668,52121,Private Lesson,Court #6,REDACTED,True,2025-06-10T12:30:00,2025-06-10T13:30:00,2025-06-10T01:02:46.903,2025-06-09T21:03:42.513,,REDACTED,[]
36791013,52120,Reserve Court: Doubles,Court #1,REDACTED,False,2025-06-16T20:00:00,2025-06-16T22:00:00,2025-06-10T01:15:34.56,2025-06-16T20:08:23.903,,REDACTED,[]
36792450,52120,Reserve Court: Doubles,Court #4,REDACTED,False,2025-06-19T19:00:00,2025-06-19T20:00:00,2025-06-10T02:00:18.83,2025-06-19T19:03:53.263,,REDACTED,[]
36807844,57948,Reserve Court: Singles,Court #7,REDACTED,False,2025-06-10T11:00:00,2025-06-10T13:00:00,2025-06-10T14:57:16.337,,,REDACTED,[]
36814506,57948,Reserve Court: Singles,Court #1,REDACTED,False,2025-06-10T13:30:00,2025-06-10T15:30:00,2025-06-10T17:06:12.717,2025-06-10T14:00:57.603,,REDACTED,[]
36816790,57948,Reserve Court: Singles,Court #2,REDACTED,False,2025-06-10T17:30:00,2025-06-10T18:00:00,2025-06-10T17:57:26.643,,,REDACTED,[]
36827538,57948,Reserve Court: Singles,Court #1,REDACTED,False,2025-06-11T13:30:00,2025-06-11T15:30:00,2025-06-10T21:19:39.837,,,REDACTED,[]
36827585,52120,Reserve Court: Doubles,Court #3,REDACTED,False,2025-06-10T20:00:00,2025-06-10T22:00:00,2025-06-10T21:20:59.547,,,REDACTED,[]
36843623,57948,Reserve Court: Singles,Court #1,REDACTED,False,2025-06-15T13:00:00,2025-06-15T14:00:00,2025-06-11T11:47:27.883,2025-06-13T14:54:00.1,,REDACTED,[]
36850820,57948,Reserve Court: Singles,Court #2,REDACTED,False,2025-06-12T22:30:00,2025-06-12T23:30:00,2025-06-11T14:25:15.753,,,REDACTED,[]
36850829,57948,Reserve Court: Singles,Court #2,REDACTED,False,2025-06-12T23:30:00,2025-06-12T23:59:00,2025-06-11T14:25:37.323,,,REDACTED,[]
36852595,52120,Reserve Court: Doubles,"Court #3, Court #4",REDACTED,False,2025-06-11T18:30:00,2025-06-11T19:30:00,2025-06-11T14:58:02.93,2025-06-12T12:43:13.84,,REDACTED,[]
